sheet,sub_table,column_position,column_label,cdid,sign_prefix,unit,table_code,classification,notes,item_code1,item_code2,item_code3,ko_name,ko_definition,source
Table_A,1,4,Total trade,IKBJ,false,GBP million,A,summary,,IKBJ,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,5,"Primary income, Compensation of employees",IJAJ,false,GBP million,A,summary,,IJAJ,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,7,"Primary income, Other primary income",MT5X,false,GBP million,A,summary,,MT5X,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,9,"Secondary income, General government",FNSV,false,GBP million,A,summary,,FNSV,CA,,2차소득 - 일반정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,10,"Secondary income, Other sectors",FNTC,false,GBP million,A,summary,,FNTC,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,2,Trade in goods,LQCT,false,GBP million,A,summary,,LQCT,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,3,Trade in services,KTMS,false,GBP million,A,summary,,KTMS,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,4,Total trade,KTMY,false,GBP million,A,summary,,KTMY,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,5,"Primary income, Compensation of employees",KTMP,false,GBP million,A,summary,,KTMP,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,6,"Primary income, Investment income",HMBM,false,GBP million,A,summary,,HMBM,CA,,1차소득 - 투자소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,7,"Primary income, Other primary income",MT5W,false,GBP million,A,summary,,MT5W,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,8,"Primary income, Total",HMBP,false,GBP million,A,summary,,HMBP,CA,,1차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,9,"Secondary income, General government",FJUQ,false,GBP million,A,summary,,FJUQ,CA,,2차소득 - 일반정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,10,"Secondary income, Other sectors",FJUR,false,GBP million,A,summary,,FJUR,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,11,"Secondary income, Total",KTNF,false,GBP million,A,summary,,KTNF,CA,,2차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_B,1,4,Total exports,IKBH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBH,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAH,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,7,"Primary income, Other primary income",MT5T,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5T,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,9,"Secondary income, Central government",FHDM,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FHDM,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,10,"Secondary income, Other sectors",FHIB,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FHIB,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,12,Total credits,HBON,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBON,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,4,Total imports,IKBI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBI,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAI,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,7,"Primary income, Other primary income",MT5V,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5V,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,9,"Secondary income, Central government",FLUD,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FLUD,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
